AreaJP,Population
逢妻町,684
秋葉町,"1,906"
曙町,"1,055"
朝日ケ丘,"2,560"
朝日町,"3,759"
今町,"2,151"
梅坪町,"3,209"
上挙母,921
栄生町,627
小川町,"2,985"
大池町,159
落合町,8
柿本町,"3,417"
金谷町,"2,013"
河合町,"1,890"
川端町,0
神田町,549
喜多町,929
京町,"3,442"
久保町,756
鴻ノ巣町,62
小坂町,"4,629"
小坂本町,"2,847"
寿町,"3,404"
挙母町,615
衣ケ原,54
栄町,"2,165"
桜町,348
三軒町,"2,392"
汐見町,737
清水町,"1,104"
下市場町,"1,971"
下林町,"1,997"
樹木町,483
昭和町,722
白浜町,0
宮上町,"3,251"
宮口町,793
美山町,"1,865"
宮町,"1,186"
御幸町,126
明和町,"3,691"
元城町,527
元町,4
元宮町,262
山之手,"4,613"
横山町,673
竜宮町,0
若草町,388
若宮町,783
池田町,146
市木町,"5,352"
泉町,"1,759"
岩滝町,936
上野町,"1,991"
大見町,249
神池町,"1,865"
川田町,12
京ケ峰,"1,744"
古瀬間町,"1,610"
琴平町,42
志賀町,"3,294"
渋谷町,"1,303"
千石町,220
高橋町,745
寺部町,"1,346"
渡合町,183
百々町,"1,301"
野見町,883
野見山町,"2,472"
東山町,"3,783"
平井町,535
広川町,"1,033"
扶桑町,618
宝来町,"1,030"
水間町,27
御立町,686
宮前町,14
室町,415
森町,258
社町,0
矢並町,671
高上,"1,855"
美里,"7,639"
双美町,737
美和町,"2,042"
五ケ丘,"6,204"
青木町,"4,527"
荒井町,"1,345"
井上町,"6,504"
上原町,"1,987"
乙部町,280
加納町,842
亀首町,"2,896"
越戸町,"2,773"
猿投町,728
四郷町,"4,423"
枝下町,291
高町,735
西広瀬町,443
花本町,958
平戸橋町,"3,937"
本徳町,184
舞木町,541
御船町,"2,635"
乙部ケ丘,"4,006"
伊保町,"1,691"
大畑町,227
大清水町,"2,795"
貝津町,"1,110"
篠原町,575
浄水町,"11,015"
田籾町,321
広幡町,357
東保見町,596
保見町,"1,774"
八草町,647
保見ケ丘,"7,138"
石野町,140
押沢町,31
小呂町,67
上高町,82
勘八町,584
国附町,70
小峯町,109
城見町,72
下室町,38
滝見町,38
力石町,232
千鳥町,74
寺下町,114
手呂町,677
富田町,68
中金町,316
市場町,143
岩下町,14
永太郎町,204
大ケ蔵連町,107
大坂町,62
大平町,401
大洞町,90
乙ケ林町,95
小原町,248
小原大倉町,43
小原北町,87
小原田代町,96
柏ケ洞町,37
鍛治屋敷町,27
上仁木町,179
苅萱町,41
川下町,69
喜佐平町,36
北大野町,4
北篠平町,236
榑俣町,51
雑敷町,17
沢田町,267
下仁木町,166
李町,109
川見町,57
千洗町,48
寺平町,75
東郷町,95
百月町,15
荷掛町,58
西丹波町,20
西萩平町,23
西細田町,111
日面町,36
平岩町,12
平畑町,64
前洞町,56
松名町,40
三ツ久保町,44
宮代町,29
簗平町,67
遊屋町,57
安実京町,13
明川町,160
足助町,"1,578"
足助白山町,65
綾渡町,89
井ノ口町,194
東大島町,271
東大見町,44
東川端町,24
東渡合町,111
東中山町,24
久木町,175
平沢町,56
平折町,32
二タ宮町,92
細田町,41
御内町,44
御蔵町,117
実栗町,54
室口町,31
岩神町,122
山谷町,31
山ノ中立町,6
四ツ松町,153
連谷町,59
月原町,121
阿蔵町,85
蘭町,124
宇連野町,72
大桑町,53
大沼町,"1,117"
蕪木町,47
神殿町,125
黒坂町,134
小松野町,113
下山田代町,304
田折町,75
高野町,20
立岩町,77
田平沢町,51
栃立町,34
梨野町,62
野原町,96
花沢町,"1,514"
羽布町,190
東大林町,93
平瀬町,78
和合町,142
浅谷町,157
旭八幡町,35
明賀町,37
有間町,118
伊熊町,60
池島町,70
一色町,28
新生町,859
陣中町,"1,720"
新町,"1,403"
神明町,607
水源町,"3,250"
砂町,0
聖心町,"2,727"
千足町,"1,519"
太平町,89
高崎町,505
高原町,876
竹生町,471
田代町,295
田中町,"5,338"
田町,0
長興寺,899
司町,"1,035"
月見町,"1,082"
土橋町,"1,854"
貞宝町,14
天王町,390
東新町,"2,118"
常盤町,551
十塚町,695
トヨタ町,181
中島町,0
錦町,258
西新町,8
西町,687
西山町,780
日南町,"1,966"
白山町,638
八幡町,43
花丘町,39
東梅坪町,"2,474"
久岡町,619
日之出町,"1,425"
平芝町,"2,668"
平山町,"1,554"
広久手町,"2,035"
広路町,76
深田町,"1,576"
平和町,"1,824"
細谷町,437
本新町,"1,124"
本地町,"1,813"
前田町,112
前山町,"2,547"
松ケ枝町,101
丸根町,382
丸山町,"2,833"
瑞穂町,540
緑ケ丘,"1,873"
畝部西町,"1,715"
畝部東町,"2,397"
永覚町,"1,459"
永覚新町,"4,025"
鴛鴨町,"4,343"
和会町,"2,558"
上郷町,"3,701"
幸町,842
大成町,228
渡刈町,"1,689"
配津町,"1,121"
広美町,637
福受町,901
豊栄町,"4,807"
桝塚西町,"3,337"
桝塚東町,564
生駒町,"1,288"
大島町,"2,163"
大林町,"9,416"
上丘町,774
駒新町,"1,040"
駒場町,"2,654"
住吉町,"2,507"
高岡町,"1,376"
高丘新町,701
高岡本町,"1,646"
高美町,"1,648"
宝町,"1,018"
竹町,"1,115"
竹元町,"2,821"
堤町,"2,633"
堤本町,436
中町,"1,799"
中田町,"1,945"
中根町,"3,313"
西岡町,"4,437"
西田町,252
花園町,"7,645"
広田町,"1,408"
本町,879
本田町,805
前林町,"1,654"
御幸本町,"3,580"
吉原町,"3,077"
竜神町,"1,611"
若林西町,"3,871"
若林東町,"9,692"
中切町,132
成合町,78
野口町,207
東広瀬町,876
藤沢町,78
芳友町,117
松嶺町,64
山中町,154
幸海町,258
穂積町,237
松平志賀町,939
岩倉町,"2,006"
九久平町,937
鵜ケ瀬町,627
中垣内町,662
桂野町,264
加茂川町,116
滝脇町,155
長沢町,83
林添町,299
大内町,197
鍋田町,169
王滝町,137
石楠町,73
豊松町,339
坂上町,411
松平町,231
巴町,"1,013"
幸穂台,847
石畳町,"1,131"
石飛町,398
大岩町,31
折平町,730
上川口町,119
上渡合町,893
木瀬町,861
北一色町,804
三箇町,310
下川口町,107
白川町,371
田茂平町,114
西市野々町,146
西中山町,"7,701"
迫町,510
深見町,"2,446"
藤岡飯野町,"1,690"
北曽木町,336
御作町,751
岩谷町,48
有洞町,12
上八木町,83
漆畑町,10
大井町,41
大河原町,89
大蔵町,155
大蔵連町,2
大多賀町,47
大塚町,26
国閑町,154
篭林町,73
上切山町,55
上小田町,59
上佐切町,91
上脇町,100
川面町,103
北小田町,37
霧山町,200
国谷町,143
桑田和町,283
桑原田町,33
小町,90
五反田町,134
小手沢町,59
沢ノ堂町,28
塩ノ沢町,40
下国谷町,86
下佐切町,57
下平町,71
白倉町,33
新盛町,148
菅生町,68
摺町,47
千田町,63
竜岡町,69
田振町,39
玉野町,45
近岡町,335
葛町,19
葛沢町,93
椿立町,9
栃ノ沢町,12
栃本町,56
戸中町,22
富岡町,133
中立町,121
永野町,27
西樫尾町,102
怒田沢町,37
野林町,130
則定町,200
冷田町,37
市平町,23
牛地町,7
太田町,111
大坪町,136
押井町,91
小滝野町,0
小渡町,250
伯母沢町,32
加塩町,97
上切町,85
上中町,30
日下部町,72
小田町,18
小畑町,59
榊野町,180
笹戸町,108
三分山町,0
閑羅瀬町,27
島崎町,65
下切町,100
下中町,43
杉本町,260
須渕町,56
惣田町,73
田津原町,69
坪崎町,7
時瀬町,41
東荻平町,82
槙本町,55
万町町,28
万根町,13
余平町,35
稲武町,274
大野瀬町,166
押山町,98
小田木町,253
川手町,99
黒田町,270
桑原町,298
御所貝津町,233
富永町,26
中当町,64
夏焼町,176
野入町,135
武節町,267
